NAME,Total 2020 16+ civilian employed,"2020 16+ civilian employed in: Agriculture, forestry, fishing, and hunting)",state,county
"Collier County, Florida",107006.0,1716.0,Florida,Collier County
"Columbia County, Florida",19323.0,343.0,Florida,Columbia County
"DeSoto County, Florida",9571.0,1206.0,Florida,DeSoto County
"Dixie County, Florida",3558.0,178.0,Florida,Dixie County
"Duval County, Florida",338645.0,315.0,Florida,Duval County
"Escambia County, Florida",92440.0,296.0,Florida,Escambia County
"Flagler County, Florida",30793.0,135.0,Florida,Flagler County
"Franklin County, Florida",2674.0,81.0,Florida,Franklin County
"Gadsden County, Florida",12794.0,334.0,Florida,Gadsden County
"Gilchrist County, Florida",5300.0,326.0,Florida,Gilchrist County
"Glades County, Florida",3057.0,259.0,Florida,Glades County
"Gulf County, Florida",3564.0,84.0,Florida,Gulf County
"Hamilton County, Florida",2598.0,236.0,Florida,Hamilton County
"Hardee County, Florida",7012.0,627.0,Florida,Hardee County
"Hendry County, Florida",13070.0,1759.0,Florida,Hendry County
"Hernando County, Florida",50561.0,570.0,Florida,Hernando County
"Highlands County, Florida",22672.0,857.0,Florida,Highlands County
"Hillsborough County, Florida",519455.0,3549.0,Florida,Hillsborough County
"Holmes County, Florida",5017.0,269.0,Florida,Holmes County
"Indian River County, Florida",39797.0,783.0,Florida,Indian River County
"Jackson County, Florida",12822.0,523.0,Florida,Jackson County
"Jefferson County, Florida",4095.0,152.0,Florida,Jefferson County
"Lafayette County, Florida",2301.0,329.0,Florida,Lafayette County
"Lake County, Florida",105937.0,1374.0,Florida,Lake County
"Lee County, Florida",225348.0,1616.0,Florida,Lee County
"Leon County, Florida",97400.0,205.0,Florida,Leon County
"Levy County, Florida",10722.0,376.0,Florida,Levy County
"Liberty County, Florida",1972.0,135.0,Florida,Liberty County
"Madison County, Florida",4486.0,99.0,Florida,Madison County
"Manatee County, Florida",114301.0,853.0,Florida,Manatee County
"Marion County, Florida",92841.0,2336.0,Florida,Marion County
"Martin County, Florida",45157.0,871.0,Florida,Martin County
"Miami-Dade County, Florida",1005171.0,6265.0,Florida,Miami-Dade County
"Monroe County, Florida",28356.0,486.0,Florida,Monroe County
"Nassau County, Florida",26864.0,140.0,Florida,Nassau County
"Okaloosa County, Florida",62361.0,341.0,Florida,Okaloosa County
"Okeechobee County, Florida",11518.0,711.0,Florida,Okeechobee County
"Orange County, Florida",494485.0,1804.0,Florida,Orange County
"Osceola County, Florida",121069.0,588.0,Florida,Osceola County
"Palm Beach County, Florida",474995.0,4232.0,Florida,Palm Beach County
"Pasco County, Florida",162613.0,675.0,Florida,Pasco County
"Pinellas County, Florida",328852.0,1307.0,Florida,Pinellas County
"Polk County, Florida",215573.0,3039.0,Florida,Polk County
"Putnam County, Florida",19024.0,930.0,Florida,Putnam County
"St. Johns County, Florida",82226.0,885.0,Florida,St. Johns County
"St. Lucie County, Florida",97963.0,1149.0,Florida,St. Lucie County
"Santa Rosa County, Florida",54460.0,342.0,Florida,Santa Rosa County
"Sarasota County, Florida",119471.0,469.0,Florida,Sarasota County
"Seminole County, Florida",174448.0,272.0,Florida,Seminole County
"Sumter County, Florida",14909.0,169.0,Florida,Sumter County
"Suwannee County, Florida",11320.0,642.0,Florida,Suwannee County
"Taylor County, Florida",4789.0,61.0,Florida,Taylor County
"Union County, Florida",3138.0,87.0,Florida,Union County
"Volusia County, Florida",168616.0,965.0,Florida,Volusia County
"Wakulla County, Florida",11665.0,124.0,Florida,Wakulla County
"Walton County, Florida",22248.0,40.0,Florida,Walton County
"Washington County, Florida",6393.0,216.0,Florida,Washington County
"Adams County, Ohio",7178.0,180.0,Ohio,Adams County
"Allen County, Ohio",32300.0,307.0,Ohio,Allen County
"Ashland County, Ohio",17178.0,537.0,Ohio,Ashland County
"Ashtabula County, Ohio",28224.0,493.0,Ohio,Ashtabula County
"Athens County, Ohio",15462.0,152.0,Ohio,Athens County
"Auglaize County, Ohio",17440.0,357.0,Ohio,Auglaize County
"Belmont County, Ohio",20341.0,217.0,Ohio,Belmont County
